entity_id,state,last_changed
sensor.airsense2_bme680_temperature,11.5,2026-01-05T08:58:35.273Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T08:59:25.266Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T08:59:35.265Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T09:00:05.262Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T09:00:15.266Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T09:11:45.228Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T09:19:45.204Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T09:21:55.196Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T09:23:15.198Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T09:26:55.183Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T09:28:45.179Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T09:31:25.174Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T09:40:35.142Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T09:41:15.138Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T09:55:55.095Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T09:57:05.090Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T10:01:25.075Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T10:01:45.076Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T10:01:55.077Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T10:02:35.075Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T10:03:15.070Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T10:05:05.064Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T10:31:04.987Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T10:39:44.956Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T10:42:54.950Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T10:43:34.947Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T10:46:14.934Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T10:48:24.936Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T10:59:34.901Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T11:03:04.890Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T11:14:04.853Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T11:15:34.849Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T11:16:44.840Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T11:17:04.841Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T11:32:14.798Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T11:32:24.796Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T11:32:44.799Z
